"n=10","n=30","n=50","n=100","n=200","n=500","n=1000"
"0.126991","0.037224","0.009716","0.009716","0.009716","0.038594","0.013826"
"0.009716","0.009716","0.009716","0.009716","0.009742","0.010034","0.037227"
"0.178222","0.009716","0.009716","0.009716","0.009745","0.02053","0.023025"
"0.009716","0.037224","0.009716","0.009716","0.007732","0.00979","0.012998"
"0.037225","0.009716","0.009716","0.009716","0.009716","0.009736","0.033039"
"0.078189","0.009716","0.009716","0.018895","0.009766","0.012115","0.021119"
"0.078189","0.111957","0.009716","0.009716","0.009736","0.010859","0.009967"
"0.037224","0.037224","0.037224","0.009716","0.009716","0.010681","0.010854"
"0.126991","0.009716","0.009716","0.009716","0.009716","0.037507","0.038265"
"0.009716","0.009716","0.078189","0.009716","0.009722","0.010464","0.040809"
