"n=10","n=30","n=50","n=100","n=200","n=500","n=1000"
"12.6991","3.7224","0.9716","0.9716","0.9716","3.8594","1.3826"
"0.9716","0.9716","0.9716","0.9716","0.9742","1.0034","3.7227"
"17.8222","0.9716","0.9716","0.9716","0.9745","2.053","2.3025"
"0.9716","3.7224","0.9716","0.9716","0.7732","0.979","1.2998"
"3.7225","0.9716","0.9716","0.9716","0.9716","0.9736","3.3039"
"7.8189","0.9716","0.9716","1.8895","0.9766","1.2115","2.1119"
"7.8189","11.1957","0.9716","0.9716","0.9736","1.0859","0.9967"
"3.7224","3.7224","3.7224","0.9716","0.9716","1.0681","1.0854"
"12.6991","0.9716","0.9716","0.9716","0.9716","3.7507","3.8265"
"0.9716","0.9716","7.8189","0.9716","0.9722","1.0464","4.0809"
